train_loss,epoch,step,val_loss,val_acc,train_acc,test_acc
0.7030411958694458,0,49,,,,
0.5976124405860901,0,99,,,,
0.561132550239563,0,149,,,,
0.5131489038467407,0,199,,,,
0.3952806293964386,0,249,,,,
0.5731342434883118,0,299,,,,
0.6261370182037354,0,349,,,,
0.4576362371444702,0,399,,,,
0.4602738320827484,0,449,,,,
,0,449,0.5030142068862915,0.7637500166893005,,
,0,449,,,0.7206944227218628,
0.5635536313056946,1,499,,,,
0.40492358803749084,1,549,,,,
0.6099315285682678,1,599,,,,
0.25897836685180664,1,649,,,,
0.4928973317146301,1,699,,,,
0.4685414731502533,1,749,,,,
0.2871425449848175,1,799,,,,
0.7240744233131409,1,849,,,,
0.6184459924697876,1,899,,,,
,1,899,0.4767351448535919,0.7762500047683716,,
,1,899,,,0.7831249833106995,
0.28222334384918213,2,949,,,,
0.46554091572761536,2,999,,,,
0.2788914144039154,2,1049,,,,
0.5021936297416687,2,1099,,,,
0.39235246181488037,2,1149,,,,
0.4701291620731354,2,1199,,,,
0.6642038226127625,2,1249,,,,
0.3132133483886719,2,1299,,,,
0.4558600187301636,2,1349,,,,
,2,1349,0.4215010106563568,0.8218749761581421,,
,2,1349,,,0.8137500286102295,
0.5070080757141113,3,1399,,,,
0.3764300048351288,3,1449,,,,
0.41579946875572205,3,1499,,,,
0.4973910450935364,3,1549,,,,
0.38687312602996826,3,1599,,,,
0.38586685061454773,3,1649,,,,
0.3792935609817505,3,1699,,,,
0.2482021301984787,3,1749,,,,
0.3135770857334137,3,1799,,,,
,3,1799,0.43951261043548584,0.8118749856948853,,
,3,1799,,,0.8353472352027893,
0.31604233384132385,4,1849,,,,
0.2924385368824005,4,1899,,,,
0.5909687280654907,4,1949,,,,
0.43162015080451965,4,1999,,,,
0.1551673710346222,4,2049,,,,
0.294137567281723,4,2099,,,,
0.27724581956863403,4,2149,,,,
0.30173832178115845,4,2199,,,,
0.3373233675956726,4,2249,,,,
,4,2249,0.3982531428337097,0.8399999737739563,,
,4,2249,,,0.8496527671813965,
0.37676140666007996,5,2299,,,,
0.24763153493404388,5,2349,,,,
0.3966788947582245,5,2399,,,,
0.31472867727279663,5,2449,,,,
0.43135133385658264,5,2499,,,,
0.20865577459335327,5,2549,,,,
0.4858931601047516,5,2599,,,,
0.34753215312957764,5,2649,,,,
0.31440043449401855,5,2699,,,,
,5,2699,0.3687181770801544,0.8531249761581421,,
,5,2699,,,0.8579166531562805,
0.38662850856781006,6,2749,,,,
0.3259159028530121,6,2799,,,,
0.46409744024276733,6,2849,,,,
0.39982515573501587,6,2899,,,,
0.12523581087589264,6,2949,,,,
0.2844661772251129,6,2999,,,,
0.22201985120773315,6,3049,,,,
0.18588170409202576,6,3099,,,,
0.3063857853412628,6,3149,,,,
,6,3149,0.3941511809825897,0.8487499952316284,,
,6,3149,,,0.867638885974884,
0.20423810184001923,7,3199,,,,
0.33459576964378357,7,3249,,,,
0.23248085379600525,7,3299,,,,
0.20521828532218933,7,3349,,,,
0.35759085416793823,7,3399,,,,
0.15906117856502533,7,3449,,,,
0.32100117206573486,7,3499,,,,
0.2697495222091675,7,3549,,,,
0.22270238399505615,7,3599,,,,
,7,3599,0.3673551082611084,0.862500011920929,,
,7,3599,,,0.8736805319786072,
0.25052112340927124,8,3649,,,,
0.31102049350738525,8,3699,,,,
0.29404163360595703,8,3749,,,,
0.15693902969360352,8,3799,,,,
0.23918089270591736,8,3849,,,,
0.15603046119213104,8,3899,,,,
0.15565559267997742,8,3949,,,,
0.3508184850215912,8,3999,,,,
0.20335736870765686,8,4049,,,,
,8,4049,0.370413213968277,0.8756250143051147,,
,8,4049,,,0.8795138597488403,
0.22157014906406403,9,4099,,,,
0.18203894793987274,9,4149,,,,
0.21458816528320312,9,4199,,,,
0.18833862245082855,9,4249,,,,
0.290866881608963,9,4299,,,,
0.2798851728439331,9,4349,,,,
0.2465393990278244,9,4399,,,,
0.2927503287792206,9,4449,,,,
0.19159245491027832,9,4499,,,,
,9,4499,0.38742703199386597,0.8575000166893005,,
,9,4499,,,0.8877778053283691,
,10,4500,,,,0.8557500243186951
,10,4500,,,,0.8622499704360962
,10,4500,,,,0.8557500243186951
